name,type,latitude,longitude
Guild Elementary,public_school,42.388798680727675,-71.00412057470655
Kennedy Patrick Elem,public_school,42.37854529844324,-71.03048029257982
Otis Elementary,public_school,42.375278677199,-71.03389058362008
O'Donnell Elementary,public_school,42.37808861764243,-71.03801071795255
East Boston High,public_school,42.3809574570732,-71.03492143398994
Umana/ Alighieri K-8,public_school,42.378289993174945,-71.04032982414778
East Boston EEC,public_school,42.36967602260976,-71.03411994961286
McKay K-8,public_school,42.369273676235025,-71.03430758289728
Adams Elementary,public_school,42.365563004886006,-71.03489031049398
Harvard/Kent Elem,public_school,42.376628517458535,-71.05749224511395
Charlestown High,public_school,42.38011867733692,-71.06107059296349
Edwards Middle,public_school,42.37908035586217,-71.06723124431771
Warren/Prescott,public_school,42.37799867618106,-71.06443059329952
Eliot K-8,public_school,42.36610274141337,-71.0533696697166
Quincy Upper School,public_school,42.34840829361231,-71.06905024614143
Quincy Lower (K-5),public_school,42.34797867069196,-71.06492059178068
Snowden International,public_school,42.35057867102016,-71.07797059619475
McKinley Elementary,public_school,42.34436866974638,-71.07352059425547
McKinley So. End Acad,public_school,42.34436866974638,-71.07352059425547
Hurley Elementary,public_school,42.33875866890723,-71.07774059556849
Blackstone Elementary,public_school,42.3407375517853,-71.0724610665085
Mason Elementary,public_school,42.32621703137864,-71.07133140548119
Clap Elementary,public_school,42.323176195196645,-71.05819134475853
Perkins Elementary,public_school,42.331318668218486,-71.05054058634448
Excel High,public_school,42.33286866892034,-71.04489058467883
Tynan Elementary,public_school,42.334870707362896,-71.0384112843871
Perry K-8,public_school,42.332120769051116,-71.03019874424272
Russell Elementary,public_school,42.32038241146029,-71.0595494081695
Orchard Gardens K-8,public_school,42.33027520987051,-71.07790901904482
West Roxbury Academy,public_school,42.2822686545933,-71.17434062433898
Middle School Academy,public_school,42.33357372154742,-71.05042965649886
UP Academy,public_school,42.33357372154742,-71.05042965649886
Boston Evening Academy,public_school,42.327028666326974,-71.08171059661102
Carter Center,public_school,42.340559774224396,-71.08383997543653
Madison Park High,public_school,42.331758667019805,-71.0902905994182
O'Bryant Math & Sci.,public_school,42.33203866686597,-71.08879259924534
Timilty Middle,public_school,42.3303986664829,-71.09097059953756
Hale Elementary,public_school,42.32554866590042,-71.09104059893866
Higginson/Lewis K-8,public_school,42.320948343335616,-71.08630956644335
Haynes EEC,public_school,42.314966854420746,-71.07893912859326
Trotter K-8,public_school,42.3157400345081,-71.08784105464046
Boston Latin Academy,public_school,42.316158664082934,-71.08450059695633
Ellis Elementary,public_school,42.3163342994336,-71.09289159498273
Winthrop Elementary,public_school,42.31820265054458,-71.07562660054356
King K-8,public_school,42.31129966334801,-71.07619659334921
Frederick Pilot Middle,public_school,42.309054022750715,-71.07541082460732
Holland Elementary,public_school,42.305618129266065,-71.07385901878241
Mather Elementary,public_school,42.30839621237029,-71.06101177184591
UP Academy Charter School of Dorchester,public_school,42.299926146742436,-71.07072943158303
Henderson Lower (K-3),public_school,42.293966727170606,-71.06222064376846
Murphy K-8,public_school,42.294206176822314,-71.04919405898903
Kenny Elementary,public_school,42.28655025040385,-71.05319153707637
Henderson Upper (4-12),public_school,42.28126172755286,-71.06956992654236
